Date,Category,Quantity,PPU,Amount,Inventory Level,Units Sold,Weather Condition,Holiday/Promotion,Month,MonthName,DayOfWeek
2025-03-03,Bedroom Sets,137.0,406849.1633539197,65884279,262.94,12790,Rainy,1,2025-03,Mar 2025,Monday
2025-03-04,Bedroom Sets,186.0,482815.3845135898,91136462,268.26,12131,Rainy,1,2025-03,Mar 2025,Tuesday
2025-03-05,Bedroom Sets,71.0,435432.4335313278,29923317,281.95,14257,Sunny,1,2025-03,Mar 2025,Wednesday
2025-03-06,Bedroom Sets,46.0,539156.8781960679,25347224,277.77,12472,Sunny,1,2025-03,Mar 2025,Thursday
2025-03-07,Bedroom Sets,109.0,430323.82756325626,48529413,298.28,15106,Sunny,0,2025-03,Mar 2025,Friday
2025-03-08,Bedroom Sets,106.0,532971.1372281056,50156326,263.12,13589,Snowy,1,2025-03,Mar 2025,Saturday
2025-03-09,Bedroom Sets,178.0,450022.8115517911,70867441,299.36,14148,Snowy,0,2025-03,Mar 2025,Sunday
2025-03-10,Bedroom Sets,40.0,420974.3625425859,15828347,276.56,13278,Cloudy,1,2025-03,Mar 2025,Monday
2025-03-11,Bedroom Sets,176.0,491675.3468458248,81147619,273.47,12977,Cloudy,0,2025-03,Mar 2025,Tuesday
2025-03-12,Bedroom Sets,127.0,430689.0465675335,62880729,273.39,13116,Sunny,0,2025-03,Mar 2025,Wednesday
2025-04-01,Bedroom Sets,19.0,458542.8671818781,9247431,267.77,12195,Snowy,1,2025-04,Apr 2025,Tuesday
2025-04-02,Bedroom Sets,6.0,536855.3298491543,2966436,268.75,13438,Snowy,1,2025-04,Apr 2025,Wednesday
2025-04-03,Bedroom Sets,94.0,518691.28275288607,51120360,288.3,15219,Rainy,0,2025-04,Apr 2025,Thursday
2025-04-04,Bedroom Sets,117.0,489019.4469849003,54738458,292.15,13316,Sunny,1,2025-04,Apr 2025,Friday
2025-04-05,Bedroom Sets,143.0,487675.71049758006,75476638,272.33,13025,Cloudy,1,2025-04,Apr 2025,Saturday
2025-04-06,Bedroom Sets,17.0,510570.6148179224,7736175,259.32,12775,Rainy,0,2025-04,Apr 2025,Sunday
2025-04-07,Bedroom Sets,212.0,493915.3645554248,95804194,269.41,13648,Cloudy,1,2025-04,Apr 2025,Monday
2025-04-08,Bedroom Sets,29.0,459487.4415096868,14604072,286.22,14784,Sunny,0,2025-04,Apr 2025,Tuesday
2025-04-09,Bedroom Sets,46.0,432303.9694768673,20408226,262.77,11750,Cloudy,1,2025-04,Apr 2025,Wednesday
2025-04-10,Bedroom Sets,207.0,486841.0797695608,104962697,268.02,14580,Rainy,0,2025-04,Apr 2025,Thursday
2025-04-11,Bedroom Sets,59.0,449406.3166921282,27954488,293.37,14549,Cloudy,1,2025-04,Apr 2025,Friday
2025-04-12,Bedroom Sets,65.0,545254.1901882308,35539340,282.53,15286,Rainy,0,2025-04,Apr 2025,Saturday
2025-05-01,Bedroom Sets,68.0,588596.7415447872,35066524,279.83,13956,Snowy,1,2025-05,May 2025,Thursday
2025-05-02,Bedroom Sets,40.0,414995.9137921664,18702555,251.88,13141,Sunny,1,2025-05,May 2025,Friday
2025-05-03,Bedroom Sets,27.0,504858.27462715696,11728963,283.95,13648,Rainy,1,2025-05,May 2025,Saturday
2025-05-04,Bedroom Sets,21.0,478788.2539955169,9573870,286.18,13005,Snowy,1,2025-05,May 2025,Sunday
2025-05-05,Bedroom Sets,91.0,500615.20074272907,48483480,261.96,11740,Cloudy,1,2025-05,May 2025,Monday
2025-05-06,Bedroom Sets,125.0,510396.68650017696,57867537,267.1,13454,Cloudy,0,2025-05,May 2025,Tuesday
2025-05-07,Bedroom Sets,100.0,543758.5188315343,50126680,263.63,13624,Sunny,1,2025-05,May 2025,Wednesday
2025-05-08,Bedroom Sets,0.0,442782.2832865864,178944,267.88,12603,Rainy,1,2025-05,May 2025,Thursday
2025-05-09,Bedroom Sets,72.0,539227.0423306458,38380790,269.58,13368,Cloudy,0,2025-05,May 2025,Friday
2025-05-10,Bedroom Sets,36.0,432148.1301541141,16797088,265.92,13340,Cloudy,0,2025-05,May 2025,Saturday
2025-05-11,Bedroom Sets,61.0,531332.4564765648,29438728,278.37,14400,Snowy,1,2025-05,May 2025,Sunday
2025-05-12,Bedroom Sets,71.0,429536.98443789495,32070703,276.14,13829,Sunny,1,2025-05,May 2025,Monday
2025-06-01,Bedroom Sets,87.0,438927.2807805456,40086488,267.5,11984,Sunny,1,2025-06,Jun 2025,Sunday
2025-06-02,Bedroom Sets,17.0,579552.0897357212,9567320,288.76,13891,Sunny,0,2025-06,Jun 2025,Monday
2025-06-03,Bedroom Sets,6.0,397586.2336672372,2705924,251.45,12278,Sunny,0,2025-06,Jun 2025,Tuesday
2025-06-04,Bedroom Sets,55.0,539892.5790962942,27786887,260.08,12395,Snowy,1,2025-06,Jun 2025,Wednesday
2025-06-05,Bedroom Sets,49.0,454364.7908249256,24352952,270.94,12267,Rainy,0,2025-06,Jun 2025,Thursday
2025-06-06,Bedroom Sets,80.0,368381.90122148587,30671984,283.3,16594,Rainy,1,2025-06,Jun 2025,Friday
2025-06-07,Bedroom Sets,29.0,475098.7230323431,14016141,294.4,13442,Rainy,0,2025-06,Jun 2025,Saturday
2025-06-08,Bedroom Sets,78.0,552764.2405621218,42524180,265.89,14370,Rainy,1,2025-06,Jun 2025,Sunday
2025-06-09,Bedroom Sets,37.0,533560.463401284,16869279,289.33,14666,Rainy,1,2025-06,Jun 2025,Monday
2025-06-10,Bedroom Sets,3.0,512158.43853892,1642292,282.05,13890,Cloudy,0,2025-06,Jun 2025,Tuesday
2025-06-11,Bedroom Sets,45.0,490502.200386873,23341716,263.07,13323,Cloudy,0,2025-06,Jun 2025,Wednesday
2025-06-12,Bedroom Sets,5.0,409620.5794632287,2052674,259.45,14194,Sunny,1,2025-06,Jun 2025,Thursday
2025-06-13,Bedroom Sets,522.0,493124.897961,257411196,248.81,14032,Sunny,1,2025-06,Jun 2025,Friday
2025-06-14,Bedroom Sets,31.0,427902.512095,13264977,264.75,16843,Sunny,0,2025-06,Jun 2025,Saturday
2025-06-15,Bedroom Sets,113.0,448457.339404,50675679,238.14,14005,Sunny,1,2025-06,Jun 2025,Sunday
2025-06-16,Bedroom Sets,254.0,561628.255391,142653576,258.44,13535,Cloudy,0,2025-06,Jun 2025,Monday
2025-06-17,Bedroom Sets,41.0,521317.343559,21374011,252.15,14256,Rainy,1,2025-06,Jun 2025,Tuesday
2025-06-18,Bedroom Sets,146.0,469847.434534,68597725,257.43,13685,Snowy,1,2025-06,Jun 2025,Wednesday
2025-06-19,Bedroom Sets,1.0,543911.74122,543911,288.33,15026,Sunny,1,2025-06,Jun 2025,Thursday
2025-06-20,Bedroom Sets,56.0,419496.56989,23491807,298.96,14242,Cloudy,0,2025-06,Jun 2025,Friday
2025-06-21,Bedroom Sets,38.0,408363.03653,15517795,265.61,13177,Rainy,1,2025-06,Jun 2025,Saturday
2025-06-22,Bedroom Sets,92.0,495645.182864,45599356,294.77,13119,Snowy,1,2025-06,Jun 2025,Sunday
2025-06-23,Bedroom Sets,49.0,556584.027567,27272617,304.11,11624,Snowy,1,2025-06,Jun 2025,Monday
2025-06-24,Bedroom Sets,205.0,504620.609348,103447224,270.27,13211,Cloudy,0,2025-06,Jun 2025,Tuesday
2025-06-25,Bedroom Sets,2.0,465433.215773,930866,282.31,13191,Sunny,0,2025-06,Jun 2025,Wednesday
2025-06-26,Bedroom Sets,275.0,417298.193805,114757003,270.5,11512,Cloudy,0,2025-06,Jun 2025,Thursday
2025-06-27,Bedroom Sets,70.0,452473.706515,31673159,264.06,13651,Sunny,0,2025-06,Jun 2025,Friday
2025-06-28,Bedroom Sets,289.0,490945.300494,141883191,274.76,13883,Rainy,0,2025-06,Jun 2025,Saturday
2025-06-29,Bedroom Sets,40.0,454280.682649,18171227,288.7,12634,Cloudy,0,2025-06,Jun 2025,Sunday
2025-06-30,Bedroom Sets,184.0,524747.734057,96553583,290.19,14288,Snowy,0,2025-06,Jun 2025,Monday
2025-07-01,Bedroom Sets,40.0,498729.654552,19949186,260.01,12440,Sunny,0,2025-07,Jul 2025,Tuesday
2025-07-02,Bedroom Sets,53.0,526470.514063,27902937,278.73,15431,Rainy,0,2025-07,Jul 2025,Wednesday
2025-07-03,Bedroom Sets,14.0,528195.10784,7394731,280.71,13045,Cloudy,1,2025-07,Jul 2025,Thursday
2025-07-04,Bedroom Sets,71.0,472533.060705,33549847,267.13,12973,Sunny,0,2025-07,Jul 2025,Friday
2025-07-05,Bedroom Sets,205.0,422568.311132,86626503,276.1,14240,Rainy,1,2025-07,Jul 2025,Saturday
2025-07-06,Bedroom Sets,102.0,543443.186344,55431205,251.75,12495,Sunny,0,2025-07,Jul 2025,Sunday
2025-07-07,Bedroom Sets,387.0,508155.45437,196656160,250.6,13415,Rainy,0,2025-07,Jul 2025,Monday
2025-07-08,Bedroom Sets,478.0,504452.856915,241128465,227.85,14820,Snowy,1,2025-07,Jul 2025,Tuesday
2025-07-09,Bedroom Sets,11.0,471393.566262,5185329,274.53,12756,Rainy,0,2025-07,Jul 2025,Wednesday
2025-07-10,Bedroom Sets,36.0,445155.55246,16025599,258.91,14221,Cloudy,0,2025-07,Jul 2025,Thursday
2025-07-11,Bedroom Sets,74.0,497713.595432,36830806,285.14,12498,Sunny,0,2025-07,Jul 2025,Friday
2025-07-12,Bedroom Sets,149.0,468663.476072,69830857,290.24,15484,Sunny,1,2025-07,Jul 2025,Saturday
2025-07-13,Bedroom Sets,210.0,548989.520364,115287799,270.13,14097,Rainy,1,2025-07,Jul 2025,Sunday
2025-07-14,Bedroom Sets,171.0,427272.033232,73063517,276.94,14915,Rainy,1,2025-07,Jul 2025,Monday
2025-07-15,Bedroom Sets,29.0,465895.252276,13510962,240.04,12404,Cloudy,1,2025-07,Jul 2025,Tuesday
2025-07-16,Bedroom Sets,120.0,486475.122578,58377014,285.71,12778,Sunny,0,2025-07,Jul 2025,Wednesday
2025-07-17,Bedroom Sets,103.0,463222.521036,47711919,280.91,11612,Cloudy,0,2025-07,Jul 2025,Thursday
2025-07-18,Bedroom Sets,43.0,436239.002964,18758277,320.51,13442,Cloudy,1,2025-07,Jul 2025,Friday
2025-07-19,Bedroom Sets,61.0,398656.374348,24318038,272.95,13555,Cloudy,0,2025-07,Jul 2025,Saturday
2025-07-20,Bedroom Sets,233.0,468924.498429,109259408,264.05,12293,Cloudy,0,2025-07,Jul 2025,Sunday
2025-07-21,Bedroom Sets,138.0,451290.543762,62278095,242.86,12778,Rainy,0,2025-07,Jul 2025,Monday
2025-07-22,Bedroom Sets,90.0,433607.967925,39024717,278.48,12389,Sunny,1,2025-07,Jul 2025,Tuesday
2025-07-23,Bedroom Sets,431.0,418681.256167,180451621,328.39,13003,Snowy,0,2025-07,Jul 2025,Wednesday
2025-07-24,Bedroom Sets,137.0,488687.55428,66950194,283.72,11031,Sunny,1,2025-07,Jul 2025,Thursday
2025-07-25,Bedroom Sets,49.0,446201.49782,21863873,277.59,13245,Cloudy,0,2025-07,Jul 2025,Friday
2025-07-26,Bedroom Sets,7.0,463472.380511,3244306,295.35,13432,Rainy,0,2025-07,Jul 2025,Saturday
2025-07-27,Bedroom Sets,36.0,468910.188566,16880766,269.19,15301,Rainy,1,2025-07,Jul 2025,Sunday
2025-07-28,Bedroom Sets,291.0,493297.825151,143549667,268.04,13480,Rainy,1,2025-07,Jul 2025,Monday
2025-07-29,Bedroom Sets,24.0,454882.580088,10917181,238.36,14585,Cloudy,1,2025-07,Jul 2025,Tuesday
2025-07-30,Bedroom Sets,183.0,601933.983099,110153918,286.17,13640,Snowy,1,2025-07,Jul 2025,Wednesday
2025-07-31,Bedroom Sets,57.0,527125.565481,30046157,287.48,13886,Cloudy,0,2025-07,Jul 2025,Thursday
2025-08-01,Bedroom Sets,522.0,453343.104514,236645100,267.24,13669,Rainy,0,2025-08,Aug 2025,Friday
2025-08-02,Bedroom Sets,221.0,474591.614752,104884746,261.13,15184,Cloudy,1,2025-08,Aug 2025,Saturday
2025-08-03,Bedroom Sets,42.0,538776.75027,22628623,264.33,16314,Cloudy,0,2025-08,Aug 2025,Sunday
2025-08-04,Bedroom Sets,87.0,389429.500265,33880366,242.45,13017,Rainy,0,2025-08,Aug 2025,Monday
2025-08-05,Bedroom Sets,130.0,446676.507606,58067945,274.72,13863,Rainy,0,2025-08,Aug 2025,Tuesday
2025-08-06,Bedroom Sets,27.0,492937.816635,13309321,234.53,15821,Rainy,1,2025-08,Aug 2025,Wednesday
2025-08-07,Bedroom Sets,152.0,464609.639062,70620665,272.76,13818,Cloudy,0,2025-08,Aug 2025,Thursday
2025-08-08,Bedroom Sets,105.0,458757.170695,48169502,283.6,14182,Rainy,0,2025-08,Aug 2025,Friday
2025-08-09,Bedroom Sets,204.0,521471.823802,106380252,290.67,14268,Sunny,1,2025-08,Aug 2025,Saturday
2025-08-10,Bedroom Sets,80.0,458754.277638,36700342,305.33,12042,Sunny,1,2025-08,Aug 2025,Sunday
2025-08-11,Bedroom Sets,182.0,485557.573571,88371478,299.24,12429,Sunny,1,2025-08,Aug 2025,Monday
2025-08-12,Bedroom Sets,49.0,504630.387979,24726889,228.8,13268,Sunny,1,2025-08,Aug 2025,Tuesday
2025-08-13,Bedroom Sets,151.0,543545.568222,82075380,305.87,12402,Rainy,1,2025-08,Aug 2025,Wednesday
2025-08-14,Bedroom Sets,156.0,485326.199271,75710887,284.99,14918,Snowy,0,2025-08,Aug 2025,Thursday
2025-08-15,Bedroom Sets,38.0,372957.798687,14172396,282.37,13487,Sunny,1,2025-08,Aug 2025,Friday
2025-08-16,Bedroom Sets,96.0,414897.803304,39830189,261.37,13680,Snowy,0,2025-08,Aug 2025,Saturday
2025-08-17,Bedroom Sets,138.0,489585.910522,67562855,283.29,11426,Rainy,1,2025-08,Aug 2025,Sunday
2025-08-18,Bedroom Sets,23.0,419612.244941,9651081,283.2,14898,Sunny,1,2025-08,Aug 2025,Monday
2025-08-19,Bedroom Sets,18.0,379037.01935,6822666,259.55,15050,Rainy,0,2025-08,Aug 2025,Tuesday
2025-08-20,Bedroom Sets,20.0,418867.941017,8377358,291.25,13921,Rainy,0,2025-08,Aug 2025,Wednesday
2025-08-21,Bedroom Sets,38.0,360070.023259,13682660,251.26,11535,Cloudy,1,2025-08,Aug 2025,Thursday
2025-08-22,Bedroom Sets,522.0,421303.097625,219920216,289.72,13013,Sunny,0,2025-08,Aug 2025,Friday
2025-08-23,Bedroom Sets,43.0,452655.780645,19464198,280.98,13855,Sunny,1,2025-08,Aug 2025,Saturday
2025-08-24,Bedroom Sets,7.0,453155.641146,3172089,281.68,14909,Sunny,1,2025-08,Aug 2025,Sunday
2025-08-25,Bedroom Sets,98.0,517125.554422,50678304,245.41,14534,Cloudy,0,2025-08,Aug 2025,Monday
2025-08-26,Bedroom Sets,56.0,510625.497295,28595027,297.18,13278,Cloudy,1,2025-08,Aug 2025,Tuesday
2025-08-27,Bedroom Sets,38.0,435914.86302,16564764,256.88,13504,Rainy,0,2025-08,Aug 2025,Wednesday
2025-08-28,Bedroom Sets,85.0,502158.027815,42683432,292.67,13056,Sunny,1,2025-08,Aug 2025,Thursday
2025-08-29,Bedroom Sets,87.0,500184.469333,43516048,254.2,14292,Rainy,1,2025-08,Aug 2025,Friday
2025-08-30,Bedroom Sets,5.0,391599.355329,1957996,279.57,11584,Rainy,1,2025-08,Aug 2025,Saturday
2025-08-31,Bedroom Sets,51.0,474902.110924,24220007,267.31,14623,Rainy,0,2025-08,Aug 2025,Sunday
2025-09-01,Bedroom Sets,487.0,431838.934155,210305560,293.69,12662,Rainy,1,2025-09,Sep 2025,Monday
2025-09-02,Bedroom Sets,5.0,590649.143786,2953245,232.65,12177,Rainy,1,2025-09,Sep 2025,Tuesday
2025-09-03,Bedroom Sets,87.0,460708.553844,40081644,289.29,15971,Sunny,1,2025-09,Sep 2025,Wednesday
2025-09-04,Bedroom Sets,114.0,467287.136352,53270733,304.53,14944,Snowy,1,2025-09,Sep 2025,Thursday
2025-09-05,Bedroom Sets,7.0,543115.2691,3801806,259.89,14082,Rainy,1,2025-09,Sep 2025,Friday
2025-09-06,Bedroom Sets,70.0,574402.695852,40208188,295.24,12169,Sunny,1,2025-09,Sep 2025,Saturday
2025-09-07,Bedroom Sets,390.0,469714.250894,183188557,280.46,14925,Sunny,1,2025-09,Sep 2025,Sunday
2025-09-08,Bedroom Sets,20.0,493846.341704,9876926,224.25,13671,Snowy,0,2025-09,Sep 2025,Monday
2025-09-09,Bedroom Sets,27.0,486663.367782,13139910,260.25,14582,Rainy,1,2025-09,Sep 2025,Tuesday
2025-09-10,Bedroom Sets,51.0,430359.690353,21948344,238.5,12072,Cloudy,1,2025-09,Sep 2025,Wednesday
2025-09-11,Bedroom Sets,43.0,532462.381415,22895882,252.24,13156,Sunny,1,2025-09,Sep 2025,Thursday
2025-09-12,Bedroom Sets,19.0,471644.067439,8961237,259.85,14195,Snowy,0,2025-09,Sep 2025,Friday
2025-09-13,Bedroom Sets,87.0,508200.165993,44213414,298.87,12713,Rainy,1,2025-09,Sep 2025,Saturday
2025-09-14,Bedroom Sets,164.0,491760.215448,80648675,273.7,12957,Snowy,1,2025-09,Sep 2025,Sunday
2025-09-15,Bedroom Sets,44.0,397214.327479,17477430,275.57,12279,Sunny,0,2025-09,Sep 2025,Monday
2025-09-16,Bedroom Sets,65.0,492465.509663,32010258,286.62,15773,Snowy,0,2025-09,Sep 2025,Tuesday
2025-09-17,Bedroom Sets,133.0,522619.396156,69508379,270.57,13529,Sunny,1,2025-09,Sep 2025,Wednesday
2025-09-18,Bedroom Sets,90.0,506755.469267,45607992,268.78,15438,Sunny,0,2025-09,Sep 2025,Thursday
2025-09-19,Bedroom Sets,53.0,437997.127162,23213847,303.64,13599,Snowy,0,2025-09,Sep 2025,Friday
2025-09-20,Bedroom Sets,35.0,459303.428534,16075619,271.93,15387,Rainy,1,2025-09,Sep 2025,Saturday
2025-09-21,Bedroom Sets,183.0,476757.515388,87246625,294.31,14601,Sunny,1,2025-09,Sep 2025,Sunday
2025-09-22,Bedroom Sets,27.0,421001.847234,11367049,275.84,15853,Rainy,0,2025-09,Sep 2025,Monday
2025-09-23,Bedroom Sets,188.0,523607.4397,98438198,306.79,12630,Sunny,0,2025-09,Sep 2025,Tuesday
2025-09-24,Bedroom Sets,87.0,566934.825056,49323329,275.15,15105,Snowy,0,2025-09,Sep 2025,Wednesday
2025-09-25,Bedroom Sets,183.0,515746.980175,94381697,276.09,12422,Rainy,1,2025-09,Sep 2025,Thursday
2025-09-26,Bedroom Sets,195.0,498805.04918,97266984,272.67,10994,Snowy,1,2025-09,Sep 2025,Friday
2025-09-27,Bedroom Sets,24.0,488943.659071,11734647,302.67,14044,Cloudy,0,2025-09,Sep 2025,Saturday
2025-09-28,Bedroom Sets,87.0,494691.609708,43038170,304.95,16027,Cloudy,1,2025-09,Sep 2025,Sunday
2025-09-29,Bedroom Sets,250.0,460098.867201,115024716,245.04,11956,Rainy,0,2025-09,Sep 2025,Monday
2025-09-30,Bedroom Sets,4.0,495396.351749,1981585,289.22,14100,Rainy,1,2025-09,Sep 2025,Tuesday
2025-10-01,Bedroom Sets,23.0,483079.773368,11110834,272.38,11508,Sunny,0,2025-10,Oct 2025,Wednesday
2025-10-02,Bedroom Sets,269.0,504055.794572,135591008,257.17,14063,Sunny,0,2025-10,Oct 2025,Thursday
2025-10-03,Bedroom Sets,133.0,549318.952498,73059420,269.56,12110,Cloudy,1,2025-10,Oct 2025,Friday
2025-10-04,Bedroom Sets,432.0,522931.302748,225906322,267.23,14157,Rainy,1,2025-10,Oct 2025,Saturday
2025-10-05,Bedroom Sets,41.0,517186.901294,21204662,273.14,13235,Cloudy,1,2025-10,Oct 2025,Sunday
2025-10-06,Bedroom Sets,99.0,443392.102034,43895818,260.34,15180,Snowy,0,2025-10,Oct 2025,Monday
2025-10-07,Bedroom Sets,7.0,489263.124919,3424841,252.59,14380,Sunny,1,2025-10,Oct 2025,Tuesday
2025-10-08,Bedroom Sets,13.0,524444.335739,6817776,279.72,13552,Sunny,1,2025-10,Oct 2025,Wednesday
2025-10-09,Bedroom Sets,84.0,468194.012677,39328297,261.89,16391,Snowy,0,2025-10,Oct 2025,Thursday
2025-10-10,Bedroom Sets,87.0,376147.226904,32724808,279.86,14156,Cloudy,0,2025-10,Oct 2025,Friday
2025-10-11,Bedroom Sets,35.0,512909.043253,17951816,267.96,13975,Sunny,0,2025-10,Oct 2025,Saturday
2025-10-12,Bedroom Sets,309.0,417404.001855,128977836,242.67,14493,Snowy,0,2025-10,Oct 2025,Sunday
2025-10-13,Bedroom Sets,0.0,533043.280125,0,275.77,11592,Cloudy,1,2025-10,Oct 2025,Monday
2025-10-14,Bedroom Sets,84.0,459402.605145,38589818,252.3,14127,Cloudy,0,2025-10,Oct 2025,Tuesday
2025-10-15,Bedroom Sets,522.0,385485.259846,201223305,241.61,12297,Rainy,1,2025-10,Oct 2025,Wednesday
2025-10-16,Bedroom Sets,77.0,500039.41589,38503035,302.72,13776,Sunny,0,2025-10,Oct 2025,Thursday
2025-10-17,Bedroom Sets,2.0,532988.592748,1065977,276.26,14142,Snowy,1,2025-10,Oct 2025,Friday
2025-10-18,Bedroom Sets,79.0,405054.592249,31999312,275.36,14265,Sunny,1,2025-10,Oct 2025,Saturday
2025-10-19,Bedroom Sets,522.0,457048.955558,238579554,257.37,12393,Sunny,0,2025-10,Oct 2025,Sunday
2025-10-20,Bedroom Sets,30.0,416248.585254,12487457,278.57,14094,Cloudy,1,2025-10,Oct 2025,Monday
2025-10-21,Bedroom Sets,233.0,540097.345098,125842681,261.7,13155,Cloudy,0,2025-10,Oct 2025,Tuesday
2025-10-22,Bedroom Sets,36.0,448926.0371,16161337,280.81,12169,Rainy,1,2025-10,Oct 2025,Wednesday
2025-10-23,Bedroom Sets,58.0,563434.812515,32679219,267.65,14565,Rainy,0,2025-10,Oct 2025,Thursday
2025-10-24,Bedroom Sets,55.0,538507.493801,29617912,302.63,13738,Sunny,1,2025-10,Oct 2025,Friday
2025-10-25,Bedroom Sets,321.0,543919.328233,174598104,288.2,13799,Rainy,1,2025-10,Oct 2025,Saturday
2025-10-26,Bedroom Sets,29.0,458007.912928,13282229,277.83,14190,Sunny,1,2025-10,Oct 2025,Sunday
2025-10-27,Bedroom Sets,85.0,486359.815888,41340584,237.97,13489,Sunny,1,2025-10,Oct 2025,Monday
2025-10-28,Bedroom Sets,65.0,448182.763111,29131879,264.88,15035,Sunny,1,2025-10,Oct 2025,Tuesday
2025-10-29,Bedroom Sets,16.0,455177.062921,7282833,314.08,12984,Cloudy,1,2025-10,Oct 2025,Wednesday
2025-10-30,Bedroom Sets,43.0,454489.175455,19543034,258.12,11689,Sunny,1,2025-10,Oct 2025,Thursday
2025-10-31,Bedroom Sets,211.0,503173.837809,106169679,282.43,14071,Sunny,1,2025-10,Oct 2025,Friday
2025-11-01,Bedroom Sets,7.0,424774.854144,2973423,254.34,13222,Rainy,0,2025-11,Nov 2025,Saturday
2025-11-02,Bedroom Sets,37.0,472569.484491,17485070,249.88,12904,Cloudy,0,2025-11,Nov 2025,Sunday
2025-11-03,Bedroom Sets,8.0,519444.668863,4155557,266.68,11745,Sunny,1,2025-11,Nov 2025,Monday
2025-11-04,Bedroom Sets,438.0,533067.519034,233483573,307.73,12368,Snowy,0,2025-11,Nov 2025,Tuesday
2025-11-05,Bedroom Sets,79.0,584094.697708,46143481,245.68,15079,Snowy,1,2025-11,Nov 2025,Wednesday
2025-11-06,Bedroom Sets,20.0,506030.385103,10120607,264.42,13658,Rainy,0,2025-11,Nov 2025,Thursday
2025-11-07,Bedroom Sets,364.0,403341.269471,146816222,247.41,13126,Sunny,1,2025-11,Nov 2025,Friday
2025-11-08,Bedroom Sets,42.0,495447.880538,20808810,320.25,13861,Rainy,1,2025-11,Nov 2025,Saturday
2025-11-09,Bedroom Sets,226.0,486520.652243,109953667,276.19,15250,Rainy,0,2025-11,Nov 2025,Sunday
2025-11-10,Bedroom Sets,12.0,476881.543608,5722578,270.3,12398,Sunny,1,2025-11,Nov 2025,Monday
2025-11-11,Bedroom Sets,522.0,471742.84509,246249765,252.4,14138,Cloudy,1,2025-11,Nov 2025,Tuesday
